@RELATION personagem 

@ATTRIBUTE Vibrant NUMERIC 
@ATTRIBUTE Muted NUMERIC 
@ATTRIBUTE DarkVibrant NUMERIC 
@ATTRIBUTE DarkMuted NUMERIC 
@ATTRIBUTE LightVibrant NUMERIC 
@ATTRIBUTE LightMuted NUMERIC 
@ATTRIBUTE classe NUMERIC

@DATA
1182,620,753,322,571,933,0
1182,583,1,322,571,933,0
1182,565,181,399,990,990,0
1182,463,1,349,702,613,0
1182,539,1,430,571,933,0
1182,521,839,322,571,822,0
1182,583,1,251,571,884,0
1182,583,1,347,571,884,0
1182,583,576,442,1331,933,0
1386,629,44,308,1294,933,0
1182,656,1,196,571,768,0
1395,788,550,442,1529,933,0
1182,503,818,322,571,822,0
974,883,898,563,1416,951,0
1182,623,644,295,571,916,0
1182,561,1,187,1342,679,0
1182,883,753,415,1416,1095,0
1182,490,1,138,679,933,0
1182,883,660,400,1417,926,0
1182,620,1,317,1253,822,0
1182,521,1,187,1257,933,0
1182,656,1,147,571,884,0
1182,521,898,347,571,946,0
1182,656,367,286,571,772,0
1182,611,476,389,456,1054,0
1182,611,115,259,571,921,0
1182,382,1,286,571,951,0
1182,488,1,317,1125,884,0
1182,620,1,39,1085,1054,0
1182,654,1,369,571,1078,0
1182,672,1,259,1086,772,0
1182,611,1,426,571,884,0
1182,586,759,308,571,933,0
1182,438,738,430,571,933,0
1182,585,582,238,571,822,0
1182,700,595,477,970,1036,0
1182,620,486,332,571,768,0
1182,496,752,367,1085,926,0
1182,620,818,308,571,822,0
1182,539,1,332,571,822,0
1182,544,1,400,570,933,0
1182,533,168,415,1221,946,0
1182,539,1,369,546,1054,0
1182,708,1,347,1236,867,0
1182,539,1,358,571,933,0
1182,586,1,147,571,796,0
1182,544,1,165,571,933,0
1182,731,1,488,571,983,0
1182,384,491,93,1366,1132,0
1182,539,1,448,1366,933,0
1182,620,1,186,1023,822,0
1182,647,1,218,1293,976,0
1182,620,1,127,571,933,0
1182,804,1,202,1244,913,0
1182,59,98,337,1124,920,1
1182,654,1137,322,883,1018,1
1484,463,1099,264,679,985,1
1484,820,517,399,571,1166,1
1484,672,460,318,869,712,1
1484,490,1099,360,702,884,1
1484,504,753,430,571,951,1
1182,816,484,322,1044,883,1
1484,571,576,399,964,933,1
1182,883,660,400,1023,822,1
1182,855,930,308,883,822,1
1182,889,148,488,571,951,1
1182,883,148,322,1063,933,1
1182,883,148,207,1267,1042,1
1182,855,537,332,1198,884,1
1182,611,728,277,571,933,1
1182,883,484,322,1198,1054,1
1182,986,753,309,1120,822,1
1182,883,818,309,891,822,1
1182,855,1111,430,1198,933,1
1182,747,557,366,1510,1050,1
1182,620,12,322,571,1038,1
1182,883,436,322,1198,755,1
1182,883,208,232,1029,1060,1
1182,397,148,400,1407,884,1
1560,708,148,266,883,822,1
1182,647,181,266,883,933,1
1182,563,148,266,1271,795,1
1182,883,148,415,1294,924,1
1182,889,582,286,883,875,1
1182,855,148,322,883,933,1
1182,855,148,213,1063,883,1
1182,889,484,309,1063,933,1
1182,883,148,213,883,1054,1
1182,585,148,327,883,933,1
1182,883,148,415,980,1020,1
1182,672,447,322,1198,933,1
