@RELATION personagem 

@ATTRIBUTE Vibrant NUMERIC 
@ATTRIBUTE Muted NUMERIC 
@ATTRIBUTE DarkVibrant NUMERIC 
@ATTRIBUTE DarkMuted NUMERIC 
@ATTRIBUTE LightVibrant NUMERIC 
@ATTRIBUTE LightMuted NUMERIC 
@ATTRIBUTE classe NUMERIC

@DATA
1182,937,1,607,1452,1095,0
1182,620,1,251,993,884,0
1182,623,1,147,855,1042,0
1182,620,963,238,1085,1054,0
1182,515,223,105,1067,828,0
1182,620,1,374,1293,978,0
1182,816,1,399,593,912,0
1182,642,1,369,571,994,0
1182,620,1,369,1085,822,0
1182,504,1,286,571,1065,0
1182,320,938,272,571,926,0
1182,656,1,259,571,842,0
1182,539,1,170,927,912,0
1182,620,1,213,571,884,0
1182,883,1,251,1294,926,0
1182,572,512,232,628,808,0
1182,695,1088,430,1080,742,0
1182,529,467,372,571,1065,0
1182,654,1,307,1443,1048,0
1182,455,401,448,571,947,0
1182,707,53,116,1180,754,0
1182,620,465,371,993,822,0
1182,539,1,430,1085,933,0
1182,620,1,360,1453,1190,0
181,611,1,332,377,1095,0
1182,611,660,93,1144,1095,0
1182,708,1,388,1085,1004,0
1222,611,753,322,571,822,0
1182,620,840,238,1039,1054,0
1182,747,168,415,1496,708,0
1182,441,53,389,1003,1166,0
1182,708,1,178,1023,933,0
1182,883,1,94,1085,926,0
1182,611,1,259,571,1055,0
1182,883,660,369,825,822,0
1182,539,1,302,1023,713,0
1182,708,1,238,1215,884,0
1182,620,1,251,1117,981,0
1182,416,1,165,1169,773,0
1182,376,595,331,1068,842,0
1182,586,168,218,685,912,0
1182,490,1,93,1257,1220,0
1182,498,1,337,1085,902,0
1182,524,1,251,993,985,0
1182,539,58,415,1227,991,0
1182,624,1,165,571,797,0
1182,385,1,259,571,911,0
1484,664,636,365,571,1019,0
1182,883,660,369,825,822,0
1484,482,494,488,953,1010,0
1484,813,168,415,1397,978,0
1484,654,2,325,1294,946,0
1484,855,1,353,1384,876,0
1484,530,267,521,1253,912,0
1484,482,537,179,1300,1113,0
1484,813,73,249,1391,1052,0
1145,385,591,218,1487,1220,0
1182,376,595,331,1068,842,0
1182,382,1,430,1215,1022,0
1484,586,168,251,1041,885,0
1182,515,898,156,1486,820,0
963,482,447,430,1092,1021,0
1384,700,938,243,1343,808,0
1449,577,1,366,571,884,0
1182,654,98,251,1332,950,0
1182,870,1,389,571,1100,0
1182,654,1,366,571,768,0
1484,769,115,191,1399,926,0
1182,708,1,165,571,926,0
1182,735,803,166,571,1011,0
1182,780,2,488,1118,952,0
1182,623,645,353,1304,799,0
1182,515,1,178,571,916,0
1182,732,98,213,319,884,0
1182,654,140,249,1094,768,0
1182,654,169,251,1130,912,0
1182,816,605,308,571,799,0
1182,855,115,249,1203,912,0
1182,708,115,187,855,946,0
1496,539,418,191,1378,928,0
1182,731,148,344,883,985,1
1182,496,576,145,883,933,1
1182,780,576,332,883,933,1
1182,855,148,322,1063,884,1
1182,717,963,384,614,799,1
1182,883,148,213,163,1054,1
1182,585,148,322,883,926,1
1182,780,660,322,883,834,1
1182,883,148,196,883,822,1
1384,333,521,317,1169,767,1
1182,430,512,238,986,822,1
1182,620,148,264,883,1095,1
1182,611,148,322,883,1054,1
1182,611,58,332,883,1054,1
1182,780,1099,415,1152,883,1
1182,521,181,400,883,933,1
1182,780,858,359,883,1054,1
1182,855,148,259,1198,883,1
1182,883,148,332,1457,1054,1
1182,855,148,286,883,1054,1
1182,485,148,131,883,1102,1
1182,855,148,344,1198,883,1
1182,585,148,430,883,822,1
1182,585,148,213,883,1054,1
1182,585,148,310,1051,822,1
1182,626,827,272,593,1131,1
1182,805,68,100,220,1037,1
1182,883,148,266,1340,1021,1
1182,482,938,349,883,1054,1
1182,498,148,277,945,950,1
1182,780,636,318,883,916,1
1384,642,901,332,380,799,1
1182,623,4,165,1150,991,1
1493,225,279,430,593,926,1
1384,416,759,249,460,1095,1
1384,333,938,366,319,939,1
1384,518,1088,178,1043,842,1
1384,451,91,374,1140,1121,1
1484,708,505,415,999,916,1
1182,333,660,218,1126,994,1
1182,333,531,325,600,991,1
1182,310,1088,264,1451,912,1
1182,333,583,325,1244,1036,1
1182,655,898,277,855,933,1
1182,780,576,322,1244,797,1
1182,586,576,332,1198,933,1
16,310,222,229,1384,1036,1
1384,804,91,415,1501,870,1
1182,855,608,264,1215,1019,1
1442,416,605,366,1293,991,1
1384,333,521,317,1169,767,1
1182,385,938,332,1169,933,1
1182,780,140,521,1378,855,1
1416,717,70,347,653,712,1
1484,883,605,170,896,1065,1
1182,529,148,266,1051,821,1
1484,805,576,336,1485,870,1
1484,855,576,322,881,903,1
1484,855,956,344,1063,822,1
1484,855,148,521,757,815,1
1182,620,148,360,1051,1054,1
1182,780,753,442,1169,884,1
